,open,high,low,close,volume
125,41.45,41.7,41.45,41.65,0
126,41.55,41.6,41.4,41.45,0
127,41.5,41.55,41.5,41.5,0
128,41.5,42.45,41.45,42.45,0
129,42.35,42.35,42.0,42.2,0
130,42.25,42.8,42.25,42.65,0
131,42.6,43.0,42.55,42.85,0
132,42.85,42.95,42.8,42.95,0
133,42.9,43.0,42.7,42.7,0
134,42.55,42.9,42.55,42.9,0
135,42.9,43.8,42.85,43.75,0
136,43.7,45.9,43.7,45.9,0
137,46.6,46.95,46.0,46.25,0
138,46.4,46.5,45.6,45.8,0
139,46.05,46.85,45.9,46.85,0
140,46.9,46.9,46.35,46.5,0
141,46.3,46.4,46.05,46.35,0
142,46.35,47.1,46.15,47.0,0
143,47.55,47.95,47.45,47.7,0
144,47.85,47.95,47.45,47.5,0
145,47.5,48.1,47.4,47.85,0
146,47.75,48.3,47.75,48.2,0
147,48.0,48.05,47.75,47.75,0
148,47.85,48.0,47.8,47.95,0
149,47.9,48.2,47.9,48.0,0
150,47.85,47.85,46.8,47.25,0
151,47.2,47.75,47.2,47.65,0
