,open,high,low,close,volume
0,41.8,41.8,41.35,41.4,0
1,41.45,41.6,41.3,41.35,0
2,41.45,41.8,41.45,41.7,0
3,41.7,41.7,41.4,41.55,0
4,41.5,41.5,41.15,41.15,0
5,41.25,41.3,41.15,41.25,0
6,41.15,41.35,41.15,41.3,0
7,41.3,41.3,40.8,41.2,0
8,41.1,41.45,41.1,41.25,0
9,41.45,41.55,41.35,41.5,0
10,41.65,41.65,41.35,41.4,0
11,41.45,41.65,41.45,41.65,0
12,41.55,41.6,41.45,41.45,0
13,41.5,41.55,41.45,41.5,0
14,41.4,42.45,41.4,42.45,0
15,42.3,42.3,42.0,42.2,0
16,42.25,42.85,42.25,42.55,0
17,42.6,43.05,42.55,42.8,0
18,42.8,42.95,42.8,42.9,0
19,42.95,43.0,42.6,42.6,0
20,42.7,42.85,42.65,42.8,0
21,42.9,43.8,42.9,43.7,0
22,43.65,46.75,43.65,46.75,0
23,46.95,46.95,46.0,46.35,0
24,46.55,46.55,45.6,45.75,0
25,46.05,46.85,45.85,46.8,0
26,46.95,46.95,46.35,46.45,0
27,46.3,46.4,46.1,46.35,0
28,46.25,47.65,46.15,47.65,0
29,47.65,48.0,47.4,47.9,0
30,47.9,48.0,47.4,47.5,0
31,47.6,48.05,47.4,47.8,0
32,48.05,48.4,48.0,48.0,0
33,48.0,48.0,47.75,47.85,0
34,47.8,48.05,47.75,47.9,0
35,48.0,48.25,47.85,47.85,0
36,47.55,47.6,46.8,47.2,0
37,47.5,47.7,41.9,41.9,0
38,41.55,41.75,41.35,41.75,0
39,41.65,41.75,41.4,41.75,0
40,41.8,41.85,41.65,41.7,0
41,41.5,41.6,41.5,41.6,0
42,41.5,41.5,41.3,41.3,0
43,41.3,41.35,41.25,41.3,0
44,41.25,41.5,41.25,41.3,0
45,40.95,41.25,40.85,41.15,0
46,41.2,41.5,41.2,41.5,0
47,41.55,41.65,41.45,41.65,0
48,41.5,41.55,41.4,41.55,0
49,41.6,41.8,41.55,41.65,0
50,41.6,41.6,41.5,41.55,0
51,41.55,41.55,41.5,41.55,0
52,41.45,42.6,41.45,42.35,0
53,42.35,42.35,42.05,42.35,0
54,42.35,42.9,42.35,42.65,0
55,42.65,43.1,42.65,42.9,0
56,42.85,43.1,42.85,43.0,0
57,43.0,43.05,42.7,42.75,0
58,42.75,42.95,42.7,42.9,0
59,43.0,43.95,43.0,43.75,0
60,44.1,47.75,44.1,47.75,0
61,46.95,47.1,46.4,46.6,0
62,46.55,46.55,45.8,46.2,0
63,46.1,47.05,45.95,47.05,0
64,46.75,46.75,46.35,46.35,0
65,46.15,46.5,46.15,46.25,0
66,46.25,48.0,46.2,48.0,0
67,47.75,48.1,47.75,48.0,0
68,48.0,48.0,47.5,47.6,0
69,47.6,48.25,47.55,48.1,0
70,48.4,48.45,48.1,48.1,0
71,48.05,48.1,47.85,47.9,0
72,47.9,48.1,47.9,48.0,0
73,48.05,48.25,47.85,47.85,0
74,47.7,47.7,47.15,47.5,0
75,47.65,47.75,41.35,41.35,0
76,41.25,41.45,41.1,41.4,0
77,41.45,41.45,41.3,41.45,0
78,41.55,41.7,41.5,41.65,0
79,41.4,41.5,41.4,41.4,0
80,41.4,41.4,41.0,41.15,0
81,41.2,41.25,41.1,41.1,0
82,41.15,41.3,40.8,40.8,0
83,40.75,41.1,40.65,41.1,0
84,41.1,41.4,41.1,41.4,0
85,41.4,41.5,41.25,41.45,0
86,41.35,41.4,41.3,41.35,0
87,41.45,41.6,41.45,41.55,0
88,41.55,41.55,41.4,41.45,0
89,41.5,41.5,41.45,41.45,0
90,41.4,42.15,41.4,42.15,0
91,42.15,42.2,41.9,42.2,0
92,42.2,42.65,42.2,42.55,0
93,42.5,42.9,42.5,42.7,0
94,42.75,42.9,42.75,42.85,0
95,42.9,42.95,42.55,42.6,0
96,42.65,42.8,42.6,42.75,0
97,42.8,43.7,42.8,43.65,0
98,43.65,45.85,43.65,45.85,0
99,46.75,46.75,45.9,46.15,0
100,46.25,46.35,45.35,45.7,0
101,46.0,46.7,45.8,46.7,0
102,46.8,46.8,46.3,46.3,0
103,46.0,46.3,45.95,46.2,0
104,46.15,47.55,46.1,47.55,0
105,47.65,47.8,47.35,47.8,0
106,47.8,47.85,47.4,47.45,0
107,47.5,47.85,47.35,47.75,0
108,47.75,48.25,47.75,47.95,0
109,48.0,48.0,47.65,47.75,0
110,47.75,48.0,47.7,47.85,0
111,47.75,48.15,47.75,47.8,0
112,47.5,47.5,46.75,47.25,0
113,47.05,47.6,47.05,47.6,0
114,47.55,47.55,41.25,41.45,0
115,41.5,41.65,41.3,41.35,0
116,41.4,41.8,41.4,41.75,0
117,41.7,41.7,41.45,41.55,0
118,41.5,41.5,41.15,41.2,0
119,41.3,41.3,41.15,41.25,0
120,41.1,41.4,41.1,41.25,0
121,40.9,41.2,40.8,41.2,0
122,41.1,41.4,41.1,41.3,0
123,41.35,41.6,41.35,41.5,0
124,41.6,41.6,41.35,41.45,0
