,open,high,low,close,volume
0,41.8,41.8,41.15,41.25,0
1,41.8,41.8,41.15,41.25,0
2,41.8,41.8,41.15,41.25,0
3,41.8,41.8,41.15,41.25,0
4,41.8,41.8,41.15,41.25,0
5,41.8,41.8,41.15,41.25,0
6,41.25,41.55,40.8,41.4,0
7,41.8,41.8,41.15,41.25,0
8,41.25,41.55,40.8,41.4,0
9,41.8,41.8,41.15,41.25,0
10,41.25,41.55,40.8,41.4,0
11,41.8,41.8,41.15,41.25,0
12,41.25,41.55,40.8,41.4,0
13,41.8,41.8,41.15,41.25,0
14,41.25,41.55,40.8,41.4,0
15,41.8,42.45,40.8,42.2,0
16,41.8,41.8,41.15,41.25,0
17,41.25,41.55,40.8,41.4,0
18,41.65,42.45,41.35,42.2,0
19,41.8,42.45,40.8,42.2,0
20,41.8,41.8,41.15,41.25,0
21,41.25,41.55,40.8,41.4,0
22,41.65,42.45,41.35,42.2,0
23,41.8,42.45,40.8,42.2,0
24,41.8,41.8,41.15,41.25,0
25,41.25,41.55,40.8,41.4,0
26,41.65,42.45,41.35,42.2,0
27,41.8,42.45,40.8,42.2,0
28,41.8,41.8,41.15,41.25,0
29,41.25,41.55,40.8,41.4,0
30,41.65,42.45,41.35,42.2,0
31,41.8,42.45,40.8,42.2,0
32,41.8,41.8,41.15,41.25,0
33,41.25,41.55,40.8,41.4,0
34,41.65,42.45,41.35,42.2,0
35,41.8,42.45,40.8,42.2,0
36,41.8,41.8,41.15,41.25,0
37,41.25,41.55,40.8,41.4,0
38,41.65,42.45,41.35,42.2,0
39,42.3,43.05,42.0,42.8,0
40,41.8,42.45,40.8,42.2,0
41,41.8,41.8,41.15,41.25,0
42,41.25,41.55,40.8,41.4,0
43,41.65,42.45,41.35,42.2,0
44,42.3,43.05,42.0,42.8,0
45,41.8,42.45,40.8,42.2,0
46,41.8,41.8,41.15,41.25,0
47,41.25,41.55,40.8,41.4,0
48,41.65,42.45,41.35,42.2,0
49,42.3,43.05,42.0,42.8,0
50,41.8,42.45,40.8,42.2,0
51,41.8,41.8,41.15,41.25,0
52,41.25,41.55,40.8,41.4,0
53,41.65,42.45,41.35,42.2,0
54,42.3,43.05,42.0,42.8,0
55,41.8,42.45,40.8,42.2,0
56,41.8,41.8,41.15,41.25,0
57,41.25,41.55,40.8,41.4,0
58,41.65,42.45,41.35,42.2,0
59,42.3,43.05,42.0,42.8,0
60,41.8,42.45,40.8,42.2,0
61,41.8,41.8,41.15,41.25,0
62,41.25,41.55,40.8,41.4,0
63,41.65,42.45,41.35,42.2,0
64,42.3,43.05,42.0,42.8,0
65,42.7,46.95,42.65,46.8,0
66,41.8,42.45,40.8,42.2,0
67,41.8,41.8,41.15,41.25,0
68,41.25,41.55,40.8,41.4,0
69,41.65,42.45,41.35,42.2,0
70,42.3,43.05,42.0,42.8,0
71,42.7,46.95,42.65,46.8,0
72,41.8,42.45,40.8,42.2,0
73,41.8,41.8,41.15,41.25,0
74,41.25,41.55,40.8,41.4,0
75,41.65,42.45,41.35,42.2,0
76,42.3,43.05,42.0,42.8,0
77,42.7,46.95,42.65,46.8,0
78,41.8,42.45,40.8,42.2,0
79,41.8,41.8,41.15,41.25,0
80,41.25,41.55,40.8,41.4,0
81,41.65,42.45,41.35,42.2,0
82,42.3,43.05,42.0,42.8,0
83,42.7,46.95,42.65,46.8,0
84,41.8,42.45,40.8,42.2,0
85,41.8,41.8,41.15,41.25,0
86,41.25,41.55,40.8,41.4,0
87,41.65,42.45,41.35,42.2,0
88,42.3,43.05,42.0,42.8,0
89,42.7,46.95,42.65,46.8,0
90,41.8,42.45,40.8,42.2,0
91,42.3,48.0,42.0,47.5,0
92,41.8,41.8,41.15,41.25,0
93,41.25,41.55,40.8,41.4,0
94,41.65,42.45,41.35,42.2,0
95,42.3,43.05,42.0,42.8,0
96,42.7,46.95,42.65,46.8,0
97,46.05,48.0,45.85,47.5,0
98,41.8,42.45,40.8,42.2,0
99,42.3,48.0,42.0,47.5,0
100,41.8,41.8,41.15,41.25,0
101,41.25,41.55,40.8,41.4,0
102,41.65,42.45,41.35,42.2,0
103,42.3,43.05,42.0,42.8,0
104,42.7,46.95,42.65,46.8,0
105,46.05,48.0,45.85,47.5,0
106,41.8,42.45,40.8,42.2,0
107,42.3,48.0,42.0,47.5,0
108,41.8,41.8,41.15,41.25,0
109,41.25,41.55,40.8,41.4,0
110,41.65,42.45,41.35,42.2,0
111,42.3,43.05,42.0,42.8,0
112,42.7,46.95,42.65,46.8,0
113,46.05,48.0,45.85,47.5,0
114,41.8,42.45,40.8,42.2,0
115,42.3,48.0,42.0,47.5,0
116,41.8,41.8,41.15,41.25,0
117,41.25,41.55,40.8,41.4,0
118,41.65,42.45,41.35,42.2,0
119,42.3,43.05,42.0,42.8,0
120,42.7,46.95,42.65,46.8,0
121,46.05,48.0,45.85,47.5,0
122,41.8,42.45,40.8,42.2,0
123,42.3,48.0,42.0,47.5,0
124,41.8,41.8,41.15,41.25,0
125,41.25,41.55,40.8,41.4,0
126,41.65,42.45,41.35,42.2,0
127,42.3,43.05,42.0,42.8,0
128,42.7,46.95,42.65,46.8,0
129,46.05,48.0,45.85,47.5,0
130,41.8,42.45,40.8,42.2,0
131,42.3,48.0,42.0,47.5,0
132,41.8,41.8,41.15,41.25,0
133,41.25,41.55,40.8,41.4,0
134,41.65,42.45,41.35,42.2,0
135,42.3,43.05,42.0,42.8,0
136,42.7,46.95,42.65,46.8,0
137,46.05,48.0,45.85,47.5,0
138,47.9,48.4,47.4,47.85,0
139,41.8,42.45,40.8,42.2,0
140,42.3,48.0,42.0,47.5,0
141,41.8,41.8,41.15,41.25,0
142,41.25,41.55,40.8,41.4,0
143,41.65,42.45,41.35,42.2,0
144,42.3,43.05,42.0,42.8,0
145,42.7,46.95,42.65,46.8,0
146,46.05,48.0,45.85,47.5,0
147,47.9,48.4,47.4,47.85,0
148,41.8,42.45,40.8,42.2,0
149,42.3,48.0,42.0,47.5,0
150,41.8,41.8,41.15,41.25,0
151,41.25,41.55,40.8,41.4,0
152,41.65,42.45,41.35,42.2,0
153,42.3,43.05,42.0,42.8,0
154,42.7,46.95,42.65,46.8,0
155,46.05,48.0,45.85,47.5,0
156,47.9,48.4,47.4,47.85,0
157,41.8,42.45,40.8,42.2,0
158,42.3,48.0,42.0,47.5,0
159,41.8,41.8,41.15,41.25,0
160,41.25,41.55,40.8,41.4,0
161,41.65,42.45,41.35,42.2,0
162,42.3,43.05,42.0,42.8,0
163,42.7,46.95,42.65,46.8,0
164,46.05,48.0,45.85,47.5,0
165,47.9,48.4,47.4,47.85,0
166,41.8,42.45,40.8,42.2,0
167,42.3,48.0,42.0,47.5,0
168,41.8,41.8,41.15,41.25,0
169,41.25,41.55,40.8,41.4,0
170,41.65,42.45,41.35,42.2,0
171,42.3,43.05,42.0,42.8,0
172,42.7,46.95,42.65,46.8,0
173,46.05,48.0,45.85,47.5,0
174,47.9,48.4,47.4,47.85,0
175,41.8,42.45,40.8,42.2,0
176,42.3,48.0,42.0,47.5,0
177,41.8,41.8,41.15,41.25,0
178,41.25,41.55,40.8,41.4,0
179,41.65,42.45,41.35,42.2,0
180,42.3,43.05,42.0,42.8,0
181,42.7,46.95,42.65,46.8,0
182,46.05,48.0,45.85,47.5,0
183,47.9,48.4,47.4,47.85,0
184,48.0,48.25,41.35,41.7,0
185,41.8,42.45,40.8,42.2,0
186,42.3,48.0,42.0,47.5,0
187,41.8,41.8,41.15,41.25,0
188,41.25,41.55,40.8,41.4,0
189,41.65,42.45,41.35,42.2,0
190,42.3,43.05,42.0,42.8,0
191,42.7,46.95,42.65,46.8,0
192,46.05,48.0,45.85,47.5,0
193,47.9,48.4,47.4,47.85,0
194,48.0,48.25,41.35,41.7,0
195,41.8,42.45,40.8,42.2,0
196,42.3,48.0,42.0,47.5,0
197,41.8,41.8,41.15,41.25,0
198,41.25,41.55,40.8,41.4,0
199,41.65,42.45,41.35,42.2,0
200,42.3,43.05,42.0,42.8,0
201,42.7,46.95,42.65,46.8,0
202,46.05,48.0,45.85,47.5,0
203,47.9,48.4,47.4,47.85,0
204,48.0,48.25,41.35,41.7,0
205,41.8,42.45,40.8,42.2,0
206,42.3,48.0,42.0,47.5,0
207,41.8,41.8,41.15,41.25,0
208,41.25,41.55,40.8,41.4,0
209,41.65,42.45,41.35,42.2,0
210,42.3,43.05,42.0,42.8,0
211,42.7,46.95,42.65,46.8,0
212,46.05,48.0,45.85,47.5,0
