,open,close,high,low,volume
268,42.7,47.5,46.95,42.65,0
269,46.05,47.85,48.0,45.85,0
270,47.9,41.7,48.4,47.4,0
271,48.0,41.15,48.25,41.35,0
272,41.8,42.2,41.85,41.25,0
273,41.8,47.5,42.45,40.8,0
274,42.3,41.15,48.0,42.0,0
275,47.9,41.25,48.4,41.25,0
276,41.8,41.4,41.8,41.15,0
277,41.25,42.2,41.55,40.8,0
278,41.65,42.8,42.45,41.35,0
279,42.3,46.8,43.05,42.0,0
280,42.7,47.5,46.95,42.65,0
281,46.05,47.85,48.0,45.85,0
282,47.9,41.7,48.4,47.4,0
283,48.0,41.15,48.25,41.35,0
